Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
2,Plazoleta,Brig. Gral. Tomas de Iriar,"DEL LIBERTADOR, AV. - FIGUEROA ALCORTA, PRES., AV. 2051 - AYACUCHO - CALLE S/N (QUE LIMITA CON PLAZA DANTE/EXPLANADA DE ATC)",0.193,NA,NA
2,Cantero central,Chabuca Granda,"QUINTANA, MANUEL 601, E/ PLAZA INTENDENTE ALVEAR Y PLAZOLETA JUAN XXIII",0.2635,NA,NA
2,Plaza,De las Naciones Unidas,"FIGUEROA ALCORTA 2801, PRES., AV. - LIBRES DEL SUR, AV. - AGOTE, LUIS, DR. (TRAZA) - VIAS DEL FCGB",4.377,NA,NA
2,Plazoleta,Del Arbol,"AGÜERO 130, AGUERO - PARED MEDIANERA",0.079,NA,NA
2,Plaza,Del Lector,"AGUERO - LAS HERAS, GRL., AV.",0.292,NA,NA
2,Plaza,Dr. Bernardo A. Houssay,"CÓRDOBA AV 2101, URIBURU, JOSE E., PRES. - PARAGUAY - JUNIN",1.873,NA,NA
2,Plazoleta,E. Pichon Riviere,"SANTA FE, AV. 2257",0.147,NA,NA
2,Plazoleta,Enrique Udaondo,"JUNCAL 1551, ARENALES - MONTEVIDEO",0.151,NA,NA
2,Plaza,Evita,"DEL LIBERTADOR 1601, AV. - AGUERO - PROPIEDAD PARTICULAR - AUSTRIA",1.277,NA,NA
2,Vereda Verde,Facultad De Derecho,FIGUEROA ALCORTA AV. E/ PUEYRREDON Y AUTRIA,0.15,NA,NA
2,Plazoleta,Florencio Escardo,SANCHEZ DE BUSTAMANTE 1301 Y PARAGUAY,0.0294,NA,NA
2,Plaza,Francia,"AV.PUEYRREDÓN 2501, DEL LIBERTADOR, AV. - LEVENE, RICARDO, DR., AV. - AGOTE, LUIS, DR.",1.563,NA,NA
2,Plazoleta,Gelly y Obes,"GELLY Y OBES 2301, GRAL., AV. - GALILEO - NEWTON - GUIDO",0.012,NA,NA
2,Plaza,Int. Torcuato de Alvear,"JUNÍN 1901, DEL LIBERTADOR, AV. - PUEYRREDON, AV. - CENTRO CULTURAL RECOLETA - QUINTANA, MANUEL, PRES., AV. - HAEDO, EDUARDO V., PRES.- ALVEAR, AV.",2.7714,Colocacion de bomba sumergible,NA
2,Jardin,Jardin de los Maestros,PIZZURNO 901 - RODRIGUEZ PEÑA - MARCELO T DE ALVEAR -,0.477,Reparacion del riego,NA
2,Plaza,Jorge L. Borges,"AUSTRIA 2501,LAS HERAS",0.054,NA,NA
